EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3.652,-3.758,1.405,-3.700,-0.098,-3.826,-4.609,-2.978,-0.048,0.933,-0.428,0.061,0.885,0.916,80.000,4825.000,1.000
1.281,-0.267,8.168,0.296,2.982,-0.322,-0.702,0.064,-0.048,0.935,-0.431,0.122,0.916,1.038,80.000,4826.000,1.000
8.198,7.674,13.709,5.897,9.761,5.998,6.556,6.185,-0.049,0.937,-0.430,0.122,0.824,0.946,80.000,4827.000,1.000
11.856,13.794,16.115,9.607,14.445,10.472,11.417,10.551,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4828.000,1.000
8.891,9.993,15.099,8.061,11.128,6.968,6.752,7.698,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4829.000,0.000
3.349,-0.268,13.280,3.490,3.119,-1.785,-3.721,0.264,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4830.000,0.000
0.170,-7.169,14.059,1.549,-2.281,-8.398,-10.699,-4.284,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4831.000,0.000
-0.010,-7.369,15.901,2.930,-2.688,-9.730,-11.181,-3.950,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4832.000,0.000
1.782,-3.460,14.981,4.100,0.325,-6.214,-7.197,-1.649,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4833.000,0.000
3.808,0.221,12.842,4.184,3.483,-1.435,-2.658,0.253,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4834.000,0.000
3.459,-0.587,13.471,4.461,2.949,-1.450,-2.761,0.175,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4835.000,0.000
1.277,-4.300,15.532,4.832,-0.206,-5.788,-6.758,-1.555,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4836.000,0.000
1.110,-4.336,15.112,4.856,-0.359,-6.467,-7.161,-1.871,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4837.000,0.000
3.440,-0.188,13.097,5.128,3.094,-1.701,-2.415,0.229,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4838.000,0.000
4.285,1.287,13.131,5.811,4.389,0.636,-0.088,1.494,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4839.000,0.000
2.443,-1.803,14.812,6.131,1.810,-2.667,-3.195,0.168,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4840.000,0.000
1.543,-3.195,14.888,5.985,0.575,-4.682,-4.997,-0.834,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4841.000,0.000
3.258,-0.139,13.338,6.176,3.080,-1.382,-1.640,0.624,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4842.000,0.000
4.497,2.028,12.960,6.811,4.911,1.541,1.294,2.144,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4843.000,0.000
3.320,0.085,14.100,7.134,3.313,-0.313,-0.444,1.448,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4844.000,0.000
2.228,-1.644,14.435,7.021,1.833,-2.524,-2.483,0.393,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4845.000,0.000
3.270,0.250,13.402,7.152,3.352,-0.644,-0.505,1.235,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4846.000,0.000
4.521,2.425,12.855,7.664,5.154,2.096,2.265,2.626,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4847.000,0.000
3.946,1.496,13.477,7.958,4.409,1.442,1.674,2.435,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4848.000,0.000
2.940,-0.086,13.853,7.897,3.082,-0.428,-0.068,1.568,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4849.000,0.000
3.435,0.879,13.267,8.002,3.826,0.379,0.856,1.959,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4850.000,0.000
4.495,2.715,12.741,8.404,5.318,2.566,3.097,3.070,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4851.000,0.000
4.363,2.523,12.951,8.648,5.180,2.726,3.290,3.207,-0.051,0.936,-0.427,0.000,0.854,0.824,80.000,4852.000,0.000
3.240,0.970,12.161,7.780,3.781,1.378,2.192,2.853,-0.059,0.936,-0.431,0.305,0.488,0.427,80.000,4853.000,1.000
2.200,-0.009,7.143,4.250,2.429,1.390,3.060,3.945,-0.052,0.935,-0.432,0.214,0.366,0.183,80.000,4854.000,1.000
2.585,0.594,-1.601,-1.049,2.254,4.124,6.974,6.566,-0.049,0.935,-0.432,0.183,0.336,0.031,80.000,4855.000,1.000
5.862,3.729,-7.972,-3.359,5.030,9.554,12.797,9.338,-0.046,0.936,-0.433,0.336,0.305,0.031,80.000,4856.000,1.000
9.418,6.923,-7.786,-0.861,9.045,14.368,17.314,11.362,-0.042,0.936,-0.432,0.305,0.458,0.122,80.000,4857.000,1.000
7.102,4.426,-4.468,1.555,8.595,12.841,16.509,11.401,-0.040,0.939,-0.431,0.244,0.427,0.122,80.000,4858.000,1.000
0.267,-1.779,-3.648,0.463,4.442,7.707,13.478,10.115,-0.038,0.942,-0.431,0.061,0.427,0.244,80.000,4859.000,1.000
-1.247,-1.394,-5.339,-0.720,5.123,9.651,16.933,11.924,-0.038,0.945,-0.427,-0.092,0.671,0.397,80.000,4860.000,1.000
5.225,7.315,-4.877,1.425,11.718,18.528,24.891,17.166,-0.041,0.942,-0.433,-0.214,0.732,0.549,80.000,4861.000,1.000
